,content,id,lat,location,lon,time,user,user_id
1125,can you believe it was 70 last week and now we’re getting snow...?! I can. Welcome to New England..... https://t.co/1ah5a2EqJg,971795180763385856,,Boston,,2018-03-08 17:10:00,typicallyargent,1000424378
1126,Another snow day? We'll take it. ❄❄ Come on down to your friendly neighborhood pool hall! #OpenInBOS #cambma… https://t.co/oVHJ34Hc1L,971795134173106176,,Cambridge,,2018-03-08 17:09:49,FlatTopJohnnys,371893027
1127,RT @marcformarc: When you’re depressed but still have to leave your house https://t.co/ZTtpzJTUNh,971795097795944448,,Other,,2018-03-08 17:09:41,kyaa_snow,881350873716314112
1128,"RT @BostonMagazine: On #InternationalWomensDay, we're celebrating strong women like the Northeastern basketball players who pushed their ow…",971795055018172416,,USA,,2018-03-08 17:09:30,jpeelle,37563
1129,Snow Day! #snowday #beards #tattoos #Boston #bbbh #teambottom #popicon #popicn https://t.co/6JDZ35beGd,971794973690597376,,Boston,,2018-03-08 17:09:11,thehouseoficon,2778300123
1137,"33_Footsteps decided to nap during her snow day, for which I will be eternally grateful.",971794549155815424,,Somerville,,2018-03-08 17:07:30,TwoToTheFifth,335716280
1139,"RT @Parrotheadduff: @clamberton7 .40"" of rain and 6"" of snow in eastern part of Danvers.  Closer to 9"" north and west part of town.",971794498878656512,,Boston,,2018-03-08 17:07:18,clamberton7,123299344
1140,We’re open today after the snow! Come into Herb Chambers MINI to see some 🚗 https://t.co/hZ1VfauFF2,971794447875928064,,Boston,,2018-03-08 17:07:06,HCMINIBoston,3101825109
1141,We will be closing early today at 4pm. Have a fun snow day!,971794412631199744,,Boston,,2018-03-08 17:06:57,betaburgers,2889013573
1142,"Wait, why did I come to the office on a snow day if all the meetings are still happening and everyone is still emai… https://t.co/StrZUoRKDc",971794397984645120,,Boston,,2018-03-08 17:06:54,LaurelinTransit,636569738
1146,It’s a snow day for many today- people and waterfowl alike! Share your snowy Emerald Necklace photos with… https://t.co/feCZZbLBiv,971794326807302144,,Boston,,2018-03-08 17:06:37,EmNecklaceBos,163610014
1148,RT @SuziBerlin: A Walk in the Snow with Love from #Boston Thank You @PeriscopeCo @PeriscopeTV #HappyInternationalWomensDay https://t.co/jsg…,971794303113625600,,Other,,2018-03-08 17:06:31,saltyervid,259717149
1151,Did anyone get a snow day today? We’re here dreaming of warm days and frutti twist juice https://t.co/yxoRUSLRNp,971794253830656000,,Boston,,2018-03-08 17:06:19,frutti_twist,964181363174887424
1152,RT @BCBSMAinno: Can’t wait for the snow to melt to take one of these Blue Bikes out! #bluetalk https://t.co/KQ2SFeJs1q,971794225623904256,,Boston,,2018-03-08 17:06:13,cgorczyca,55008434
1153,there is snow in my boots,971794182376513536,,Boston,,2018-03-08 17:06:02,BitchWithA_W,436942546
1155,A Walk in the Snow with Love from #Boston Thank You @PeriscopeCo @PeriscopeTV #HappyInternationalWomensDay https://t.co/jsg3CkqkvN,971794150977933312,,Boston,,2018-03-08 17:05:55,SuziBerlin,2990364321
1156,Yay TWO snow ❄️ days for Alyyyycia! 🎉 https://t.co/rUBfdUCJ5h,971794134490144768,,Boston,,2018-03-08 17:05:51,RadioDeirdre,1621330416
1157,It better not snow during SPRING break,971794124016881664,,Boston,,2018-03-08 17:05:48,xxJMontyzz,2230618190
1158,Take Advantage of the Snow and Hit the Slopes - on us! https://t.co/ly660sxFnd https://t.co/m4iZ16OuWF,971794087505530880,,Boston,,2018-03-08 17:05:40,FocusTSI,143523484
1159,"After it began to snow Wednesday night, 15-year-old Alex Wymer took to the streets outside of his Newton home to pr… https://t.co/UZAXLI5zz8",971794049106677760,,Boston,,2018-03-08 17:05:31,BostonGlobe,95431448
1160,my mom drove 1 hour in the snow just to drop me home cooked meals at my place https://t.co/53HSEntiWm,971794035697504256,,Boston,,2018-03-08 17:05:27,princeadvm,136875081
1161,"@clamberton7 .40"" of rain and 6"" of snow in eastern part of Danvers.  Closer to 9"" north and west part of town.",971793994022834176,,Boston,,2018-03-08 17:05:17,Parrotheadduff,301836174
1162,"Okay, #Spring, we're ready for you! #Winter #Weather #Snow https://t.co/2O0MNIGKcA",971793952201494528,,Boston,,2018-03-08 17:05:07,Boston_C_Garage,763773296395575296
1163,@EASPORTSNHL @TheFlopFish now I cant do the challenge for the 95 mcdavid dam I had to work all night in the snow to… https://t.co/tByze5m77U,971793950058188800,,Boston,,2018-03-08 17:05:07,GaryGmpunk,1009910588
1166,Got the day off cus the snow storm finna catch so many W today who am I going to bless https://t.co/hiH2sq9er0,971793550399692800,,Boston,,2018-03-08 17:03:32,ReSpOnSiVe_,445018134
1167,"my snow day gifted me with new episodes of crazy ex girlfriend on netflix, happy #internationalwomensday really",971793480824639488,,Boston,,2018-03-08 17:03:15,clareitea,2883129699
1168,"Sorry about the snow Boston, Shit happens 😜 https://t.co/CHKb3llCVl",971793471811055616,,Boston,,2018-03-08 17:03:13,PHeriveaux,2205905099
117,@snipekerr Im not too worried..... How about this snow? 🤣🤣🤣,971897109812301824,,Boston,,2018-03-08 23:55:02,kdriley05,458757597
1170,"School's canceled &amp; your kids are stuck at home. Don't worry, Sheprd is still operating! Email or call us to see if… https://t.co/xZUb9SOWiH",971793350021009408,,Boston,,2018-03-08 17:02:44,RideSheprd,807043526873718784
1171,#tbt to my favorite snow day in California. Happy… https://t.co/T0ZSuEfRh6,971793271625338880,,Boston,,2018-03-08 17:02:25,jirvingkelly,1707799644
1173,"I’ve lived at current place since Fall ‘14. Everytime I walk down Summer St, with snow on the ground, I fall.

Im e… https://t.co/csHq7FqY9x",971793227513810944,,Boston,,2018-03-08 17:02:15,Felicity_Lingle,307616096
1174,There are a lot of foreigners in my neighborhood and you can tell the ones who are experiencing their first snowsto… https://t.co/13ohRmRDow,971793092645916672,,Boston,,2018-03-08 17:01:42,radviews,15244900
1175,It is currently 42.6 degrees Fahrenheit in Boston with Snow conditions.,971793020025753600,,Boston,,2018-03-08 17:01:25,Christo47726466,918159451626049536
1176,@AbuzzDesigns Clearing the top of the driveway was the worst part by far - esp since we had water running down and… https://t.co/qtlMjcMC4L,971792815763189760,,Boston,,2018-03-08 17:00:36,bmemike,130831844
1177,"LIVE AT NOON: Hundreds of thousands still without power after nor'easter drops wet, heavy snow across the region. https://t.co/fvWAfPmBrU",971792763455983616,,Boston,,2018-03-08 17:00:24,7News,16558796
1178,How snow has become a tool in urban planning https://t.co/JDE57IsTt1,971792649576419328,,Boston,,2018-03-08 16:59:57,GlobeMetro,22814630
1179,"RT @gintautasd: Burst pipe inside Massachusetts State House as snow keeps coming down outside 
#mapoli https://t.co/kSdjiDU7c1",971792619541024768,,Other,,2018-03-08 16:59:50,TracyNovick,15812228
118,"RT @tlcthepoet: 14 inches of snow today in NH!  Matthew 6:26 paraphrased: If God takes care of and feeds the birds, how much more does He l…",971896595053793280,,Other,,2018-03-08 23:52:59,Sebasti16682292,845761035009175552
1183,"Slow-mo snow action here in Cambridge! All classes on today, naturally. Lovely day for a stroll to the studio! 
*... https://t.co/kMObVEmdx0",971792330830295040,,Cambridge,,2018-03-08 16:58:41,O2_Yoga,543566192
1185,@apwinthrop We're so glad to see that! We hope you're enjoying the fast speeds on this snow day ❄️,971792182695878656,,Boston,,2018-03-08 16:58:06,netBlazr,166542222
1188,"Looking West on I-90, my view from the office. #boston #timelapse #snow @VeroTrueSocial https://t.co/JrZtX9WQsj",971791963686162432,,Boston,,2018-03-08 16:57:13,wildmindwriting,956343881251074048
1189,RT @Tygastripe: Sorry everyone. Due to the snow storm coming through Boston the net isn’t stable enough for a stream. We’ll try again in th…,971791962029395968,,Boston,,2018-03-08 16:57:13,Aykna,22774650
119,@lalaleslie_x0 Jesus fucking Christ the snow ruins everything I’m sorry about that lol.,971896594286219264,,Boston,,2018-03-08 23:52:59,Orejaaaaaaaaaaa,710135656
1190,snow is so pretty once it’s all completely melted and gone.,971791939417800704,,Boston,,2018-03-08 16:57:08,bobbyjmain,12255442
